chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.16666666666666666,143,0.2488536377405318,1.0,0.8548821806907654,17,18000,6,6,10,62
0.1111111111111111,144,0.6778861895593595,0.9935451892371924,0.8615893721580505,20,18000,9,7,11,61
0.16666666666666666,145,0.28819528943816747,1.0,0.8219702243804932,17,18000,6,6,10,88
0.1111111111111111,146,0.6019977398608647,1.0,0.8280843496322632,16,18000,9,9,12,75
0.16666666666666666,147,0.13179606370555955,1.0,0.8195419311523438,6,18000,6,6,15,68
0.16666666666666666,148,0.434878319769606,1.0,0.7380200028419495,8,18000,6,6,12,78
0.1111111111111111,149,0.21907897325935125,1.0,0.8284688591957092,4,18000,9,9,17,67
0.14285714285714285,150,0.15501875236195642,1.0,0.8673052191734314,1,18000,7,7,17,85
0.16666666666666666,151,0.30642220192409997,1.0,0.8094844222068787,13,18000,6,6,11,61
0.2,152,0.2923488220774281,1.0,0.6337230205535889,12,18000,5,5,12,89
0.1111111111111111,153,0.35345210495465734,1.0,0.8068957924842834,9,18000,9,9,16,68
0.1111111111111111,154,0.6951536862518705,1.0,0.8249408006668091,24,18000,9,9,10,76
0.1111111111111111,155,0.835399743373599,1.0,0.7176905870437622,24,18000,9,9,10,87
0.1111111111111111,156,0.8626338068204903,0.9973617685276822,0.7995379567146301,20,18000,9,8,11,73
0.08333333333333333,157,0.8784801868580906,1.0,0.7338406443595886,22,18000,12,12,13,83
0.1,158,0.6258725915539131,1.0,0.7658137083053589,19,18000,10,10,12,64
0.1,159,0.6640497454332169,1.0,0.3707162141799927,14,18000,10,10,12,81
0.08333333333333333,160,0.7561889666513465,1.0,0.8143002390861511,22,18000,12,12,13,80
0.08333333333333333,161,0.7725013577981755,1.0,0.8426223993301392,22,18000,12,12,13,84
0.14285714285714285,162,0.2239010160366284,1.0,0.8299647569656372,10,18000,7,7,14,64
0.1111111111111111,163,0.5565387526325026,1.0,0.86944580078125,16,18000,9,9,12,83
0.16666666666666666,164,0.16042801810570317,1.0,0.7076826095581055,6,18000,6,6,15,69
0.125,165,0.5651325473898858,1.0,0.8369165062904358,25,18000,8,8,10,73
0.1111111111111111,166,0.8829305373069148,1.0,0.677792489528656,20,18000,9,9,11,79
0.1,167,0.21817349202057829,1.0,0.9184635877609253,11,18000,10,10,17,66
0.14285714285714285,168,0.37352565355884176,1.0,0.8609108924865723,10,18000,7,7,14,77
0.1111111111111111,169,0.8293565659622769,1.0,0.7117403745651245,20,18000,9,9,11,67
0.1,170,0.3389277813468769,0.991049406923344,0.8430814146995544,0,18000,10,9,23,62
0.07692307692307693,171,0.19466412131061928,0.9903417199914022,0.9173850417137146,2,18000,13,12,21,61
0.07692307692307693,172,0.949755817507158,1.0,0.7787604928016663,18,18000,13,13,14,77
0.16666666666666666,173,0.3370712990893315,1.0,0.8245517611503601,13,18000,6,6,11,87
0.1,174,0.3359080064176062,1.0,0.906105637550354,11,18000,10,10,17,67
0.16666666666666666,175,0.3941749641287808,1.0,0.823627769947052,8,18000,6,6,12,67
0.16666666666666666,176,0.6433105622116603,1.0,0.7932236194610596,8,18000,6,6,12,81
0.1111111111111111,177,0.4843682550639777,1.0,0.7619105577468872,9,18000,9,9,16,88
0.1111111111111111,178,0.2048351343154891,1.0,0.8168222904205322,4,18000,9,9,17,60
0.14285714285714285,179,0.216988964575839,1.0,0.7996869683265686,21,18000,7,7,10,67
0.1111111111111111,180,0.41961975689294734,1.0,0.7536201477050781,4,18000,9,9,17,74
0.16666666666666666,181,0.03970018145505384,1.0,0.880429208278656,6,18000,6,6,15,64
0.1111111111111111,182,0.14735803716786408,0.9896254778087258,0.9016807079315186,15,18000,9,8,15,61
0.14285714285714285,183,0.0656589129152078,1.0,0.9172368049621582,1,18000,7,7,17,66
0.14285714285714285,184,0.3503298115116832,1.0,0.8585624694824219,10,18000,7,7,14,65
0.125,185,0.6394318856913227,1.0,0.863543689250946,25,18000,8,8,10,84
0.07692307692307693,186,0.9679110597471094,1.0,0.7618650197982788,18,18000,13,13,14,72
0.16666666666666666,187,0.15452136384695897,1.0,0.8779053688049316,17,18000,6,6,10,64
0.16666666666666666,188,0.4841783400372284,1.0,0.7861167192459106,13,18000,6,6,11,89
0.1111111111111111,189,0.16190017668289552,1.0,0.7572243213653564,4,18000,9,9,17,85
0.14285714285714285,190,0.09213213213705077,0.9887575041157803,0.9097692370414734,1,18000,7,4,17,70
0.1111111111111111,191,0.1530735999437588,1.0,0.7986680269241333,15,18000,9,9,15,85
0.1,192,0.7662562163374262,1.0,0.7782893180847168,27,18000,10,10,11,89
0.1,193,0.6695407589279966,1.0,0.763726532459259,14,18000,10,10,12,65
0.2,194,0.20542964865530106,1.0,0.8032404780387878,12,18000,5,5,12,69
0.1111111111111111,195,0.5292939321689163,0.9984754639830897,0.7784015536308289,16,18000,9,8,12,60
0.1111111111111111,196,0.32968152751512725,1.0,0.7809407114982605,9,18000,9,9,16,63
0.125,197,0.5392715531155694,0.9918774348205693,0.8818497657775879,25,18000,8,7,10,61
0.07692307692307693,198,0.8107561408333308,1.0,0.6576052904129028,18,18000,13,13,14,76
0.1,199,0.46445420970550727,1.0,0.7863655686378479,11,18000,10,10,17,81
0.1111111111111111,200,0.7587214580384738,1.0,0.7018674612045288,24,18000,9,9,10,63
0.16666666666666666,201,0.2732873026520047,1.0,0.9032717347145081,13,18000,6,6,11,65
0.2,202,0.12981425430310609,1.0,0.5852621793746948,5,18000,5,5,13,84
